,_id,dish_id_num,dish_name,restaurant_id,average_rating,features,description,tags,rating_ids,obj_id
1,ObjectId(603ab53b88dbe9c89607dfa8),1,Pad Thai,1,5,"[1, 2, 4, 6, 7]","Thin rice noodles stir-fried with egg, green onions, bean sprouts and ground peanuts.",,,603ab53b88dbe9c89607dfa8
2,ObjectId(603ab53b88dbe9c89607dfab),2,Pad Kee Mao,1,1.3,"[1, 2, 4, 7]","Wide rice noodles stir-fried with egg, fresh chili, bell peppers, onions, green beans and basil leaves.",,,603ab53b88dbe9c89607dfab
3,ObjectId(603ab53b88dbe9c89607dfaa),3,Green Curry,1,4,"[1, 2, 4, 7]","Thai Green curry paste with coconut milk, basil leaves, bamboo shoots, eggplant, zucchini and bell peppers.",,,603ab53b88dbe9c89607dfaa
4,ObjectId(603ab53b88dbe9c89607dfa7),4,Panang Curry,1,2.5,"[1, 2, 4, 7]","Thai Panang curry paste with coconut milk, kaffir lime leaves and bell peppers.",,,603ab53b88dbe9c89607dfa7
5,ObjectId(603ab53b88dbe9c89607dfa9),5,Pad Ka Pao,1,1.5,"[1, 2, 4, 7]","Fresh ground chilis, stir-fried with basil leaves, onions, fresh garlic, bamboo shoots, green beans and bell peppers.",,,603ab53b88dbe9c89607dfa9
6,ObjectId(603ab53b88dbe9c89607dfac),6,Pra Ram,1,5,"[1, 2, 6, 7]","Your choice of meat with steamed vegetables, topped with peanut sauce.",,,603ab53b88dbe9c89607dfac
7,ObjectId(603ab53b88dbe9c89607dfad),7,Pad See Ew,1,2.1,"[1, 2, 7]","Wide rice noodles stir-fried with egg, sweet soy sauce, broccoli and carrots.",,,603ab53b88dbe9c89607dfad
8,ObjectId(603ab53b88dbe9c89607dfae),8,Crispy Chicken Fried Rice,1,3.3,"[1, 2, 7]","Fried rice with egg, onions, carrots, green peas and tomatoes topped with crispy chicken.",,,603ab53b88dbe9c89607dfae
9,ObjectId(603ab53b88dbe9c89607dfaf),9,Kao Pad Ka Pao,1,5,"[1, 2, 4, 7]","Spicy fried rice with egg, fresh ground chili, onions, bell peppers, garlic, green beans and basil leaves.",,,603ab53b88dbe9c89607dfaf
10,ObjectId(603ab53b88dbe9c89607dfb0),10,Sweet Sticky Rice with Mango,1,2.3,"[3, 4, 5, 7]",,,,603ab53b88dbe9c89607dfb0
11,ObjectId(603ab53b88dbe9c89607dfb2),11,Grilled Lobster Club,2,4.1,"[1, 12]","bacon, lettuce, tomato, Dijon aioli",,,603ab53b88dbe9c89607dfb2
12,ObjectId(603ab53b88dbe9c89607dfb1),12,Turkey Wrap,2,5,"[1, 12]","VT turkey, cheddar, cranberry, mayo",,,603ab53b88dbe9c89607dfb1
13,ObjectId(603ab53b88dbe9c89607dfb3),13,Fried Buttermilk Chicken Sandwhich,2,1.2,"[2, 12]","Spicy mayo, slaw, pickles",,,603ab53b88dbe9c89607dfb3
14,ObjectId(603ab53b88dbe9c89607dfb4),14,"The ""Murph"" Burger",2,1.8,"[2, 12]","American cheese, crispy shallots, bacon, Baja sauce",,,603ab53b88dbe9c89607dfb4
15,ObjectId(603ab53b88dbe9c89607dfb5),15,Grilled Beef Ribeye,2,1.2,"[2, 12]","Mashed potato, red wine demi glaze",,,603ab53b88dbe9c89607dfb5
16,ObjectId(603ab53b88dbe9c89607dfb6),16,Irish Shepards Pie,2,1.1,[2],"Ground lamb, peas, onions, corn, carrots, mashed potato",,,603ab53b88dbe9c89607dfb6
